,blst,flh,sup,cag,fag,age,inX,outY
769,0.0,0.0,0.0,978.0,825.0,360,0.580060423,3.719408424
985,98.8,77.0,6.5,919.0,749.3,28,0.738738739,3.52046058
147,97.1,0.0,12.1,852.1,925.7,56,0.406330417,4.0109627
96,106.3,0.0,18.6,936.0,803.7,7,0.356235294,3.84588296
260,0.0,100.4,10.4,1003.8,903.8,14,0.749764817,3.23356717
1027,139.4,108.6,6.1,892.4,780.0,28,1.297643098,3.165474848
371,0.0,124.1,11.3,1078.7,794.9,28,0.72407492,3.408503742
1019,163.9,127.7,5.8,868.6,655.6,28,1.694345025,3.561897768
861,0.0,128.0,11.0,870.0,780.0,28,0.566978193,3.617920137
858,149.0,0.0,8.0,951.0,709.0,28,0.577639752,3.959287948
632,0.0,0.0,0.0,1063.0,783.0,28,0.566153846,3.42001892
311,0.0,95.6,8.9,955.1,859.2,28,0.579979709,3.687378095
89,177.0,0.0,11.1,884.9,707.9,3,0.423690205,3.671224287
478,24.0,79.0,11.6,967.0,712.0,7,0.3632287,3.951435758
74,93.8,0.0,23.4,852.1,992.6,3,0.3376,3.367295617
963,236.8,0.0,11.9,1069.3,674.8,28,1.158666667,3.622472293
549,0.0,0.0,0.0,931.2,842.6,90,0.576576577,3.730021162
421,129.8,118.6,3.6,1007.3,746.8,14,1.010674157,3.533394328
27,38.0,0.0,0.0,932.0,670.0,180,0.666666667,3.953548503
578,290.2,0.0,0.0,998.2,704.3,7,0.959689922,2.844909204
469,0.0,100.5,7.5,998.0,901.8,100,0.874165383,3.790532869
1001,137.2,106.9,6.0,878.4,655.3,28,0.675957018,3.980055165
583,316.1,0.0,0.0,977.0,689.3,28,0.881347888,3.632573389
139,189.2,0.0,10.1,926.1,756.7,56,0.454812834,4.1494636
610,0.0,0.0,0.0,968.0,885.0,365,0.81779661,3.222070512
410,13.6,172.4,4.1,1006.3,856.4,3,0.909512761,3.058237286
987,190.1,148.1,18.8,838.1,741.4,28,1.103703704,3.519276448
301,0.0,96.2,9.4,961.2,865.0,28,0.578856749,3.547891537
17,38.0,0.0,0.0,932.0,670.0,365,0.666666667,4.027848317
820,0.0,0.0,0.0,1125.0,613.0,270,0.36,4.206332799
16,209.4,0.0,0.0,1047.0,806.9,90,1.375358166,3.67274984
886,0.0,137.0,16.0,1002.0,830.0,28,1.067567568,2.887589933
397,116.0,119.0,5.7,833.0,880.0,28,1.268965517,3.372797694
171,0.0,0.0,28.2,852.1,893.7,91,0.266892528,4.080921284
705,183.9,0.0,0.0,958.2,800.1,3,1.659869494,1.199964707
916,134.0,0.0,6.0,924.0,760.0,28,0.674740484,3.833844982
905,0.0,166.0,10.0,961.0,805.0,28,1.333333333,2.587011709
514,22.0,132.0,8.9,822.0,750.0,56,0.396226415,4.308917891
718,183.9,0.0,0.0,958.2,800.1,7,1.659869494,2.336986372
197,0.0,100.5,7.5,1006.4,905.9,56,0.850539291,3.525183139
51,190.0,0.0,0.0,932.0,670.0,180,1.2,3.848656887
935,178.0,187.0,7.0,854.0,614.0,28,1.416666667,3.381334539
482,24.0,79.0,11.6,967.0,712.0,56,0.3632287,4.027848317
191,0.0,94.6,4.6,947.0,852.2,28,0.846449957,3.128513187
641,0.0,0.0,0.0,1100.0,820.0,7,0.728,2.543961252
825,0.0,0.0,0.0,1040.0,734.0,28,0.465994962,3.665866448
388,0.0,136.0,20.0,903.0,768.0,28,0.41038961,4.017283263
555,272.8,0.0,0.0,1012.4,714.3,28,1.020890599,3.330059144
261,0.0,100.4,10.4,1003.8,903.8,28,0.749764817,3.621670476
161,189.0,0.0,9.5,944.7,755.8,56,0.51760876,4.092509288
356,97.8,24.5,11.2,1061.7,782.5,28,0.57972583,4.145354222
556,290.2,0.0,0.0,998.2,704.3,28,0.959689922,3.485231891
752,0.0,0.0,0.0,1125.0,613.0,14,0.32037037,4.090336283
184,0.0,96.7,4.5,967.1,870.3,3,0.851169065,2.449279318
296,42.2,124.3,10.8,1080.8,796.2,28,0.937240971,3.437850482
346,0.0,174.7,10.2,1053.5,776.4,28,0.724379972,3.692622207
113,189.0,0.0,22.0,944.7,755.8,7,0.374198512,4.079061448
1009,0.0,107.0,6.1,879.0,815.2,28,0.625293526,3.752792543
971,144.7,0.0,8.0,999.7,822.2,28,0.407099456,3.795938287
967,183.4,0.0,9.1,877.2,867.7,28,1.24870801,3.169265124
874,0.0,113.0,8.0,1002.0,689.0,28,0.568690096,3.605497618
49,95.0,0.0,0.0,932.0,594.0,7,0.6,3.491037865
394,0.0,0.0,0.0,1120.0,695.0,28,0.432098765,3.956996121
955,0.0,89.6,10.6,931.3,762.2,28,0.728906823,3.473517824
753,0.0,0.0,0.0,1125.0,613.0,28,0.32037037,4.209308548
754,0.0,0.0,0.0,1125.0,613.0,90,0.32037037,4.243625997
848,97.0,76.0,8.0,835.0,821.0,28,0.76984127,3.508555679
771,0.0,0.0,0.0,978.0,825.0,3,0.580060423,2.604169906
513,22.0,132.0,8.9,822.0,750.0,7,0.396226415,3.696103066
6,95.0,0.0,0.0,932.0,594.0,365,0.6,3.777347864
182,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
783,0.0,0.0,0.0,1085.0,765.0,90,0.648648649,3.380654267
1025,116.0,90.3,8.9,870.1,768.3,28,0.649782923,3.790532869
304,0.0,97.4,11.8,973.9,875.6,3,0.579574161,3.141562524
553,359.4,0.0,0.0,941.6,664.3,7,0.775041736,3.235536062
552,238.2,0.0,0.0,1040.6,734.3,7,1.169395466,2.263844122
600,0.0,0.0,0.0,968.0,781.0,14,0.581120944,3.297317043
106,189.0,0.0,11.6,944.7,755.8,7,0.454771098,4.023564126
557,170.3,0.0,0.0,1026.6,724.3,7,0.726810176,2.847232086
335,0.0,121.4,9.9,1053.6,777.5,14,0.579789168,3.657646521
777,0.0,0.0,0.0,1069.0,754.0,28,0.545722714,3.460723143
613,0.0,0.0,0.0,968.0,856.0,3,0.689530686,2.43009826
761,0.0,0.0,0.0,974.0,775.0,90,0.58,3.44521405
238,98.1,24.5,6.7,1066.0,785.5,100,0.849859682,3.911422579
167,118.8,0.0,8.9,852.1,781.5,91,0.381263158,4.306629098
850,243.0,0.0,11.0,1022.0,698.0,28,1.153846154,3.620600385
288,0.0,167.0,7.6,1055.6,777.8,100,0.934950386,3.814850853
891,0.0,185.0,16.0,1074.0,678.0,28,1.105960265,2.59972216
23,209.4,0.0,0.0,1047.0,806.9,180,1.375358166,3.788950769
543,0.0,0.0,0.0,889.8,945.0,7,0.752941176,2.324346438
1028,186.7,0.0,11.3,989.6,788.9,28,1.10370836,3.489513243
449,13.6,172.4,4.1,1006.3,856.4,56,0.909512761,3.579343341
177,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
975,116.8,91.0,7.0,946.5,665.6,28,0.688086643,3.774598091
732,0.0,0.0,0.0,1056.0,809.0,7,0.550143266,2.198334933
665,116.0,0.0,0.0,946.8,856.8,7,1.10982659,2.432735624
696,122.6,0.0,0.0,959.2,800.0,7,1.106579663,2.378619629
39,237.5,0.0,0.0,932.0,594.0,180,0.96,3.590439155
115,189.0,0.0,9.5,944.7,755.8,7,0.51760876,3.558200906
889,111.0,86.0,5.0,895.0,733.0,28,0.744274809,3.518090911
61,114.0,0.0,0.0,932.0,670.0,270,0.857142857,3.946037635
770,0.0,0.0,0.0,1047.0,806.0,3,0.550143266,2.707383141
896,161.0,0.0,10.0,917.0,759.0,28,0.568690096,3.959669409
306,0.0,97.4,11.8,973.9,875.6,28,0.579574161,3.877017152
597,181.9,0.0,0.0,1012.4,714.3,28,0.680718475,3.44617053
643,0.0,0.0,0.0,1050.0,770.0,7,0.531428571,3.009634989
965,169.6,0.0,8.1,811.0,802.3,28,0.589712557,4.036362025
862,164.0,128.0,6.0,869.0,656.0,28,1.692857143,3.561897768
765,0.0,0.0,0.0,966.0,763.0,7,0.483116883,3.145013778
951,144.7,0.0,8.0,999.7,822.2,28,1.166339227,2.944964971
636,0.0,0.0,0.0,1075.0,795.0,28,0.613333333,3.290265613
433,128.5,132.1,8.1,1005.8,746.6,28,1.061212121,3.837083677
429,0.0,174.2,11.7,1043.6,771.9,14,0.745667447,3.387436253
323,0.0,98.8,12.8,987.8,889.0,100,0.634684866,3.933001164
623,0.0,0.0,0.0,968.0,812.0,3,0.628664495,2.528923376
265,0.0,124.8,7.8,1085.4,799.5,14,0.75,3.44521405
124,97.1,0.0,12.1,852.1,925.7,28,0.406330417,3.925925663
87,200.9,0.0,11.2,1004.6,803.7,3,0.505413902,3.194582931
437,50.1,173.5,6.5,1006.2,793.5,28,0.949855908,3.642835286
121,118.8,0.0,8.9,852.1,781.5,28,0.381263158,4.2239095
336,0.0,121.4,9.9,1053.6,777.5,28,0.579789168,3.938275128
759,0.0,0.0,0.0,974.0,775.0,28,0.58,3.308350623
156,200.9,0.0,11.2,1004.6,803.7,56,0.505413902,4.290322175
82,94.7,0.0,11.4,946.8,852.1,3,0.366849179,3.716007887
349,0.0,174.2,11.7,1052.3,775.5,3,0.72412178,2.8547444
821,0.0,0.0,0.0,974.0,800.0,14,0.630434783,3.033509446
710,166.8,0.0,0.0,977.6,694.1,28,0.813349321,3.609836019
250,0.0,95.7,5.5,956.9,861.2,14,0.7496,3.215670491
750,0.0,0.0,0.0,1125.0,613.0,28,0.4,3.78623276
111,189.0,0.0,11.6,944.7,755.8,7,0.454771098,4.023564126
444,0.0,118.3,5.8,1043.6,754.3,28,0.767303103,3.504655869
663,200.0,0.0,0.0,927.4,839.2,28,1.443609023,3.327550632
201,0.0,125.4,7.8,1090.0,804.0,28,0.850026219,3.273363804
172,106.3,0.0,16.5,852.1,887.1,91,0.361176471,4.177459205
360,54.6,123.8,11.9,1075.7,792.7,14,0.64527956,3.582406984
599,0.0,0.0,0.0,968.0,781.0,7,0.581120944,3.043092653
730,0.0,0.0,0.0,1025.0,821.0,120,0.580060423,3.673257841
1010,0.0,126.5,5.7,860.5,736.6,28,0.659641397,3.690378097
439,93.4,159.9,9.7,1007.2,746.6,28,0.99136939,3.632573389
917,175.0,0.0,2.0,1000.0,828.0,28,1.155405405,3.292869297
300,0.0,96.2,9.4,961.2,865.0,14,0.578856749,3.545874536
9,0.0,0.0,0.0,932.0,594.0,28,0.48,3.670969802
836,140.0,0.0,6.0,895.0,722.0,28,0.703947368,3.509154302
412,75.4,167.0,7.9,1007.3,770.1,3,0.982035928,2.742129342
92,189.0,0.0,9.5,944.7,755.8,3,0.51760876,3.18221164
501,26.0,123.0,3.9,882.0,699.0,3,0.427698574,3.242982696
576,0.0,0.0,0.0,1069.2,754.3,7,0.547464623,3.053057148
806,0.0,0.0,0.0,1047.0,739.0,7,0.484293194,3.17805363
625,0.0,0.0,0.0,968.0,812.0,90,0.628664495,3.494080155
734,0.0,0.0,0.0,1056.0,809.0,90,0.550143266,3.705244574
333,0.0,125.1,12.0,1086.8,800.9,100,0.580632091,4.195997951
779,0.0,0.0,0.0,1069.0,769.0,28,0.627118644,3.226049825
849,0.0,150.0,12.0,1023.0,729.0,28,1.103030303,2.892036855
127,212.5,0.0,14.3,852.1,880.4,28,0.488393977,4.016382767
737,0.0,0.0,0.0,1119.0,789.0,28,0.781512605,2.864483806
979,133.7,0.0,5.5,924.1,760.1,28,0.674394464,3.834061222
434,129.8,118.6,3.6,1007.3,746.8,28,1.010674157,3.667655586
602,0.0,0.0,0.0,968.0,781.0,90,0.581120944,3.560193222
207,0.0,121.6,5.7,1057.6,779.3,56,0.850070721,3.532225421
181,189.0,0.0,22.0,944.7,755.8,91,0.374198512,4.414009402
827,0.0,0.0,0.0,896.0,896.0,7,0.279693487,3.922171089
961,0.0,0.0,3.4,985.8,816.8,28,0.540564636,3.80376918
780,0.0,0.0,0.0,1118.0,789.0,28,0.777310924,2.864483806
338,0.0,121.4,9.9,1053.6,777.5,100,0.579789168,4.070905074
255,0.0,100.4,8.7,1007.8,903.6,14,0.749647059,3.269948889
893,118.0,92.0,7.0,953.0,780.0,28,1.228187919,3.157850924
838,149.0,116.0,15.0,953.0,720.0,28,1.100628931,3.320709921
178,200.9,0.0,11.2,1004.6,803.7,91,0.505413902,4.341204366
277,0.0,118.3,5.8,1028.4,757.7,56,0.749801114,3.610106545
1005,97.1,75.6,8.3,835.5,821.4,28,0.768742562,3.508555679
686,203.5,0.0,0.0,965.4,631.0,3,0.666557484,2.649007493
71,262.2,0.0,8.6,1046.9,611.8,3,0.560165975,3.360375175
622,0.0,0.0,0.0,968.0,812.0,365,0.628664495,3.587676722
271,0.0,121.6,6.7,1056.4,778.5,28,0.75064711,3.518387427
222,0.0,163.3,4.5,1058.6,780.1,56,1.062612884,3.354454907
367,53.8,121.9,9.6,1014.3,780.6,56,0.724057701,3.98824278
385,0.0,0.0,5.2,855.0,855.0,28,0.326923077,4.099000115
128,94.7,0.0,11.4,946.8,852.1,28,0.366849179,4.226833479
938,183.4,0.0,9.1,1047.4,696.7,28,1.24870801,2.906354279
216,0.0,125.2,9.9,1088.1,802.6,28,0.850761955,3.34885069
624,0.0,0.0,0.0,968.0,812.0,28,0.628664495,3.31527611
930,209.0,161.0,7.0,848.0,669.0,28,1.264150943,3.430108509
637,0.0,0.0,0.0,1038.0,758.0,7,0.496,3.260401366
67,142.5,0.0,0.0,932.0,594.0,7,0.685714286,3.410487213
579,135.7,0.0,0.0,1076.2,759.3,28,0.912530713,3.119276263
944,145.0,113.0,8.0,1001.9,688.7,28,1.165904637,3.241028425
198,0.0,100.5,7.5,1006.4,905.9,100,0.850539291,3.62006491
281,0.0,118.3,6.4,1028.4,757.7,28,0.749801114,3.486150868
823,0.0,0.0,0.0,974.0,800.0,180,0.630434783,3.387436253
537,0.0,0.0,0.0,936.2,712.2,28,0.4,3.782824828
847,129.0,100.0,9.0,825.0,805.0,28,0.614285714,3.966889657
422,129.9,128.6,7.8,1006.3,746.6,14,1.048387097,3.459780487
512,22.0,132.0,8.9,822.0,750.0,3,0.396226415,3.469167289
620,0.0,0.0,0.0,968.0,863.0,365,0.779527559,3.394172553
966,0.0,142.8,9.1,1047.4,696.7,28,1.24870801,2.522523354
376,0.0,0.0,0.0,1003.5,762.4,28,0.570744681,3.464797744
868,116.0,90.0,9.0,870.0,768.0,28,0.652173913,3.790532869
666,288.0,0.0,0.0,929.8,716.1,3,1.0,2.548663455
990,178.1,138.7,18.3,944.0,694.6,28,1.10342556,3.593193977
350,0.0,174.2,11.7,1052.3,775.5,14,0.72412178,3.517497615
913,0.0,107.0,13.0,953.0,784.0,28,0.55033557,3.579622242
34,190.0,0.0,0.0,932.0,670.0,365,1.2,3.983226513
830,190.0,148.0,19.0,838.0,741.0,28,1.104938272,3.519276448
722,0.0,0.0,0.0,1012.0,830.0,7,0.619354839,2.847232086
105,94.7,0.0,11.4,946.8,852.1,7,0.366849179,3.990833934
517,11.0,141.0,1.7,942.0,801.0,7,1.01980198,2.712705841
888,145.0,0.0,8.0,1000.0,822.0,28,1.163398693,2.944964971
327,0.0,98.8,14.2,987.8,889.0,56,0.57986524,4.022311105
11,132.4,0.0,0.0,978.4,825.5,28,0.966767372,3.332918331
210,0.0,118.3,4.6,1029.4,758.6,14,0.85,2.999724106
558,181.9,0.0,0.0,1012.4,714.3,7,0.680718475,2.984165449
224,42.1,163.8,5.7,1058.7,780.1,3,0.725,2.047692714
644,0.0,0.0,0.0,1050.0,770.0,28,0.531428571,3.534853543
595,124.1,0.0,0.0,1083.4,764.3,28,0.997314715,2.867898721
799,0.0,0.0,0.0,1125.0,613.0,3,0.32037037,3.729061008
48,237.5,0.0,0.0,932.0,594.0,7,0.96,3.268046663
762,0.0,0.0,0.0,974.0,775.0,180,0.58,3.487986292
824,0.0,0.0,0.0,974.0,817.0,28,0.67218543,3.079613563
25,0.0,0.0,0.0,932.0,670.0,270,0.6,3.97593608
586,0.0,0.0,0.0,1104.6,784.3,7,0.486890404,2.676903303
463,50.1,173.5,6.5,1006.2,793.5,100,0.949855908,4.026422292
383,0.0,0.0,11.3,1030.0,745.0,28,0.365853659,4.366912721
279,0.0,118.3,6.4,1028.4,757.7,3,0.749801114,2.574137621
567,135.7,0.0,0.0,1076.2,759.3,7,0.912530713,2.481567592
548,0.0,0.0,0.0,913.2,895.3,28,0.664359862,3.241419585
403,119.0,0.0,9.0,1061.0,657.0,28,0.449438202,4.077537187
428,0.0,95.7,5.3,948.9,857.2,14,0.7672,3.205182295
942,145.0,0.0,8.0,867.2,824.0,28,0.569741462,3.711863056
227,42.1,163.8,5.7,1058.7,780.1,56,0.725,3.491951525
764,0.0,0.0,0.0,966.0,763.0,3,0.483116883,2.687847324
776,0.0,0.0,0.0,1069.0,754.0,7,0.545722714,3.052112414
591,0.0,0.0,0.0,1111.6,784.3,28,0.735445545,2.984165449
308,0.0,97.4,11.8,973.9,875.6,100,0.579574161,4.018902113
1,0.0,0.0,2.5,1055.0,676.0,28,0.3,4.125358355
956,117.6,91.7,7.1,953.4,780.3,28,1.227516779,3.157850924
748,0.0,0.0,0.0,1125.0,613.0,7,0.4,3.502850814
712,288.0,0.0,0.0,929.8,716.1,7,1.0,3.067122076
498,19.0,97.0,12.3,967.0,871.0,28,0.408450704,4.01548146
621,0.0,0.0,0.0,968.0,812.0,180,0.628664495,3.540669204
135,177.0,0.0,11.1,884.9,707.9,28,0.423690205,4.189654478
775,0.0,0.0,0.0,1104.0,774.0,28,0.661921708,3.110844884
36,237.5,0.0,0.0,932.0,594.0,28,0.96,3.403860284
792,0.0,0.0,0.0,1047.0,806.0,360,0.550143266,3.74075984
474,24.0,79.0,10.3,967.0,712.0,28,0.3632287,3.977623211
256,0.0,100.4,8.7,1007.8,903.6,28,0.749647059,3.454421925
800,0.0,0.0,0.0,1111.0,784.0,7,0.734126984,2.618125328
533,0.0,0.0,0.0,913.2,895.3,3,0.664359862,2.455306025
735,0.0,0.0,0.0,1056.0,809.0,120,0.550143266,3.710151355
189,0.0,94.6,4.6,947.0,852.2,3,0.846449957,2.33988073
772,0.0,0.0,0.0,1047.0,739.0,7,0.486910995,3.17805363
958,100.6,78.4,10.4,935.7,762.9,28,0.65640631,3.907412146
152,189.0,0.0,11.6,944.7,755.8,56,0.454771098,4.347693681
923,207.0,172.0,10.0,822.0,638.0,28,1.333333333,3.6848712
857,207.0,161.0,5.0,867.0,736.0,28,1.356060606,3.505557176
56,0.0,0.0,0.0,932.0,594.0,365,0.48,3.736001325
976,0.0,107.5,12.8,953.2,784.0,28,0.548809124,3.579901066
321,0.0,98.8,12.8,987.8,889.0,28,0.634684866,3.429136534
570,0.0,0.0,0.0,1091.4,769.3,28,0.627789047,3.227637127
90,189.0,0.0,22.0,944.7,755.8,3,0.374198512,3.703767833
574,203.5,0.0,0.0,1076.2,759.3,7,1.368459838,2.016235339
550,0.0,0.0,0.0,940.6,785.6,7,0.488549618,3.322875205
398,128.0,122.0,6.4,824.0,879.0,28,1.1375,3.673765584
998,0.0,99.6,9.8,959.4,705.2,28,0.643044619,3.405189188
252,0.0,95.7,5.5,956.9,861.2,56,0.7496,3.646232649
150,212.5,0.0,14.3,852.1,880.4,56,0.488393977,4.191168482
447,129.8,118.6,3.6,1007.3,746.8,56,1.010674157,3.883417503
77,106.3,0.0,16.5,852.1,887.1,3,0.361176471,3.508555679
123,106.3,0.0,16.5,852.1,887.1,28,0.361176471,4.099165994
293,45.2,122.0,8.2,1059.4,780.7,100,0.935164835,3.885062579
582,155.5,0.0,0.0,1026.6,724.3,28,1.090428655,3.247657421
85,151.2,0.0,15.9,1134.3,605.0,3,0.405533597,3.353406506
539,0.0,0.0,0.0,936.2,712.2,90,0.4,3.994892231
320,0.0,98.8,12.8,987.8,889.0,14,0.634684866,3.356199804
651,122.6,0.0,0.0,959.2,800.0,3,1.106579663,1.589235105
701,192.0,0.0,0.0,932.0,717.8,90,0.666666667,3.922566972
751,0.0,0.0,0.0,1125.0,613.0,7,0.32037037,3.962905966
79,0.0,0.0,28.2,852.1,893.7,3,0.266892528,3.720862265
420,128.5,132.1,8.1,1005.8,746.6,14,1.061212121,3.499230901
483,24.0,79.0,11.6,967.0,712.0,56,0.3632287,4.011868087
141,106.3,0.0,16.5,852.1,887.1,56,0.361176471,4.163559368
940,0.0,106.7,10.5,819.2,778.4,28,0.747972973,3.447444415
15,0.0,0.0,0.0,932.0,670.0,90,0.6,3.968592106
496,20.0,94.0,11.6,938.0,845.0,56,0.405684755,4.118386297
756,0.0,0.0,0.0,1125.0,613.0,270,0.32037037,4.306359484
912,117.0,91.0,7.0,946.0,666.0,28,0.689530686,3.774368602
379,0.0,0.0,4.0,966.0,853.0,28,0.28,4.213163832
200,0.0,125.4,7.8,1090.0,804.0,14,0.850026219,3.047375314
711,203.5,0.0,0.0,965.4,631.0,90,0.666557484,4.00003363
687,157.0,0.0,0.0,972.6,749.1,90,0.813559322,3.866606898
143,93.8,0.0,23.4,852.1,992.6,56,0.3376,4.097672094
241,0.0,118.2,6.1,1028.1,757.6,28,0.849804092,3.200304237
159,189.0,0.0,22.0,944.7,755.8,56,0.374198512,4.374498092
133,200.9,0.0,11.2,1004.6,803.7,28,0.505413902,4.215085914
708,173.0,0.0,0.0,909.8,891.9,3,1.655172414,1.837369865
914,145.0,0.0,8.0,1002.0,689.0,28,0.568690096,3.714790601
97,93.8,0.0,23.4,852.1,992.6,7,0.3376,3.822098057
844,137.0,107.0,6.0,878.0,655.0,28,0.674496644,3.980055165
404,180.0,120.0,10.4,830.0,765.0,28,0.589090909,4.333885986
989,114.6,89.3,8.8,860.0,829.5,28,1.378156997,2.995231959
208,0.0,121.6,5.7,1057.6,779.3,100,0.850070721,3.679081379
607,0.0,0.0,0.0,968.0,885.0,28,0.822033898,2.913436847
784,0.0,0.0,0.0,879.0,825.0,3,0.580060423,2.604169906
717,212.0,0.0,0.0,971.8,748.5,3,1.44019816,1.574846368
656,133.0,0.0,0.0,965.4,806.2,3,0.96,2.43449001
605,0.0,0.0,0.0,968.0,885.0,3,0.822033898,1.867175991
1018,0.0,127.9,11.5,870.1,779.7,28,0.567828251,3.618188485
158,177.0,0.0,11.1,884.9,707.9,56,0.423690205,4.272490478
725,0.0,0.0,0.0,1012.0,830.0,120,0.619354839,3.655839369
871,187.0,0.0,11.0,990.0,789.0,28,1.106918239,3.489208039
332,0.0,125.1,12.0,1086.8,800.9,56,0.580632091,4.099663465
480,24.0,79.0,11.6,967.0,712.0,7,0.3632287,3.671224287
739,0.0,0.0,0.0,1090.0,769.0,28,0.628378378,3.226049825
845,164.0,0.0,5.0,870.0,774.0,28,0.591900312,4.046728453
545,0.0,0.0,0.0,889.8,945.0,28,0.752941176,2.931193567
863,121.0,0.0,7.0,908.0,829.0,28,0.614583333,3.74075984
12,47.5,0.0,0.0,932.0,594.0,270,0.533333333,3.761432409
40,38.0,0.0,0.0,932.0,670.0,90,0.666666667,3.921180696
569,0.0,0.0,0.0,1104.6,784.3,28,0.486890404,3.11307057
460,129.8,118.6,3.6,1007.3,746.8,100,1.010674157,3.911822739
996,238.7,0.0,6.3,1001.8,683.9,28,1.31061599,3.290637983
237,98.1,24.5,6.7,1066.0,785.5,56,0.849859682,3.852909498
430,0.0,100.5,7.5,998.0,901.8,14,0.874165383,3.189652765
464,75.4,167.0,7.9,1007.3,770.1,100,0.982035928,4.039712112
872,100.0,78.0,9.0,864.0,761.0,28,0.770114943,3.478158203
378,0.0,0.0,0.0,1003.5,762.4,100,0.570744681,3.762594254
682,122.6,0.0,0.0,959.2,800.0,28,1.106579663,3.180134796
593,0.0,0.0,0.0,1111.6,784.3,7,0.735445545,2.440606237
648,212.0,0.0,0.0,971.8,748.5,28,1.44019816,3.397523762
742,0.0,0.0,0.0,936.0,721.0,90,0.4,3.994155583
240,0.0,118.2,6.1,1028.1,757.6,14,0.849804092,3.105482942
31,114.0,0.0,0.0,932.0,670.0,365,0.857142857,3.968592106
283,0.0,118.3,6.4,1028.4,757.7,100,0.749801114,3.788950769
212,0.0,118.3,4.6,1029.4,758.6,56,0.85,3.451256364
322,0.0,98.8,12.8,987.8,889.0,56,0.634684866,3.738383413
531,0.0,0.0,0.0,838.4,719.7,28,0.5,3.171784017
649,250.2,0.0,0.0,975.6,692.6,3,1.220023981,1.93152129
75,118.8,0.0,8.9,852.1,781.5,3,0.381263158,3.632308873
793,0.0,0.0,0.0,974.0,817.0,14,0.67218543,2.897567842
318,0.0,99.9,12.4,1006.0,899.8,100,0.580222399,3.814850853
841,0.0,100.0,10.0,959.0,705.0,28,0.642622951,3.405189188
1022,111.0,86.5,5.9,832.6,790.4,28,0.739130435,3.726656583
275,0.0,118.3,5.8,1028.4,757.7,14,0.749801114,3.398861107
406,0.0,143.6,0.0,1005.6,900.9,3,0.992727273,2.667228038
703,133.0,0.0,0.0,965.4,806.2,28,0.96,3.415757317
251,0.0,95.7,5.5,956.9,861.2,28,0.7496,3.374853193
276,0.0,118.3,5.8,1028.4,757.7,28,0.749801114,3.389461912
413,93.4,159.9,9.7,1007.2,746.6,3,0.99136939,2.761274788
673,141.3,0.0,0.0,973.4,750.0,7,0.95990566,2.710048033
