source_row,blst,flh,sup,cag,fag,age,inX,outY
821,0.0,0.0,0.0,974.0,800.0,14,0.630434783,3.033509446
308,0.0,97.4,11.8,973.9,875.6,100,0.579574161,4.018902113
607,0.0,0.0,0.0,968.0,885.0,28,0.822033898,2.913436847
841,0.0,100.0,10.0,959.0,705.0,28,0.642622951,3.405189188
324,0.0,98.8,14.2,987.8,889.0,3,0.57986524,3.080991923
211,0.0,118.3,4.6,1029.4,758.6,28,0.85,3.197856256
948,145.0,113.0,8.0,867.2,824.0,28,1.165904637,3.266903588
938,183.4,0.0,9.1,1047.4,696.7,28,1.24870801,2.906354279
301,0.0,96.2,9.4,961.2,865.0,28,0.578856749,3.547891537
824,0.0,0.0,0.0,974.0,817.0,28,0.67218543,3.079613563
20,47.5,0.0,0.0,932.0,594.0,180,0.533333333,3.733852584
1004,128.9,100.4,9.5,825.1,804.9,28,0.616154396,3.967078961
594,210.7,0.0,0.0,977.0,689.3,7,0.587472319,3.196220933
770,0.0,0.0,0.0,1047.0,806.0,3,0.550143266,2.707383141
285,0.0,167.0,7.6,1055.6,777.8,14,0.934950386,3.072693121
93,189.2,0.0,10.1,926.1,756.7,7,0.454812834,3.832979556
330,0.0,125.1,12.0,1086.8,800.9,14,0.580632091,3.742893806
354,97.8,24.5,11.2,1061.7,782.5,3,0.57972583,3.416085779
588,124.1,0.0,0.0,1083.4,764.3,7,0.997314715,2.07944141
679,141.3,0.0,0.0,973.4,750.0,28,0.95990566,3.496507341
421,129.8,118.6,3.6,1007.3,746.8,14,1.010674157,3.533394328
243,0.0,118.2,6.1,1028.1,757.6,100,0.849804092,3.710151355
543,0.0,0.0,0.0,889.8,945.0,7,0.752941176,2.324346438
334,0.0,121.4,9.9,1053.6,777.5,3,0.579789168,3.169685381
778,0.0,0.0,0.0,1069.0,769.0,7,0.627118644,2.694627011
10,132.4,0.0,0.0,978.4,825.5,90,0.966767372,3.639426341
621,0.0,0.0,0.0,968.0,812.0,180,0.628664495,3.540669204
70,189.2,0.0,10.1,926.1,756.7,3,0.454812834,3.538056341
143,93.8,0.0,23.4,852.1,992.6,56,0.3376,4.097672094
291,45.2,122.0,8.2,1059.4,780.7,28,0.935164835,3.442658954
109,189.0,0.0,11.6,944.7,755.8,7,0.454771098,4.023564126
181,189.0,0.0,22.0,944.7,755.8,91,0.374198512,4.414009402
555,272.8,0.0,0.0,1012.4,714.3,28,1.020890599,3.330059144
30,76.0,0.0,0.0,932.0,670.0,365,0.75,4.012049066
811,0.0,0.0,0.0,970.0,850.0,28,0.619354839,3.329343068
1016,0.0,200.1,12.6,849.3,846.0,28,1.103532278,2.714032102
397,116.0,119.0,5.7,833.0,880.0,28,1.268965517,3.372797694
65,38.0,0.0,0.0,932.0,670.0,270,0.666666667,4.008423247
113,189.0,0.0,22.0,944.7,755.8,7,0.374198512,4.079061448
617,0.0,0.0,0.0,968.0,863.0,3,0.779527559,2.23108895
598,0.0,0.0,0.0,968.0,781.0,3,0.581120944,2.581730671
597,181.9,0.0,0.0,1012.4,714.3,28,0.680718475,3.44617053
353,0.0,174.2,11.7,1052.3,775.5,100,0.72412178,4.082609048
328,0.0,98.8,14.2,987.8,889.0,100,0.57986524,4.110053597
227,42.1,163.8,5.7,1058.7,780.1,56,0.725,3.491951525
186,0.0,96.7,4.5,967.1,870.3,28,0.851169065,3.214465914
340,0.0,117.5,9.5,1022.8,753.5,14,0.588156124,3.610647378
920,162.0,126.0,10.0,923.0,764.0,28,1.264705882,3.369706502
982,0.0,0.0,8.0,999.7,822.2,28,0.569555484,3.222867643
26,95.0,0.0,0.0,932.0,594.0,270,0.6,3.717223693
884,0.0,120.0,10.0,878.0,728.0,28,0.706666667,3.171364642
512,22.0,132.0,8.9,822.0,750.0,3,0.396226415,3.469167289
262,0.0,100.4,10.4,1003.8,903.8,56,0.749764817,3.79323923
906,112.0,87.0,10.0,910.0,745.0,28,0.669172932,3.67427307
650,183.9,0.0,0.0,958.2,800.1,90,1.659869494,3.502248405
449,13.6,172.4,4.1,1006.3,856.4,56,0.909512761,3.579343341
728,0.0,0.0,0.0,1025.0,821.0,28,0.580060423,3.457577497
280,0.0,118.3,6.4,1028.4,757.7,14,0.749801114,3.195811684
138,189.0,0.0,9.5,944.7,755.8,28,0.51760876,3.910020756
1010,0.0,126.5,5.7,860.5,736.6,28,0.659641397,3.690378097
342,0.0,117.5,9.5,1022.8,753.5,56,0.588156124,3.950473943
429,0.0,174.2,11.7,1043.6,771.9,14,0.745667447,3.387436253
1018,0.0,127.9,11.5,870.1,779.7,28,0.567828251,3.618188485
1019,163.9,127.7,5.8,868.6,655.6,28,1.694345025,3.561897768
498,19.0,97.0,12.3,967.0,871.0,28,0.408450704,4.01548146
736,0.0,0.0,0.0,1119.0,789.0,7,0.781512605,2.489064503
199,0.0,125.4,7.8,1090.0,804.0,3,0.850026219,2.710713147
627,0.0,0.0,0.0,1125.0,845.0,7,0.9,2.059238704
670,203.5,0.0,0.0,965.4,631.0,28,0.666557484,3.769998267
242,0.0,118.2,6.1,1028.1,757.6,56,0.849804092,3.44521405
673,141.3,0.0,0.0,973.4,750.0,7,0.95990566,2.710048033
256,0.0,100.4,8.7,1007.8,903.6,28,0.749647059,3.454421925
266,0.0,124.8,7.8,1085.4,799.5,28,0.75,3.650658011
25,0.0,0.0,0.0,932.0,670.0,270,0.6,3.97593608
399,156.0,0.0,5.9,981.0,760.0,28,0.807692308,3.671224287
375,0.0,0.0,0.0,1003.5,762.4,14,0.570744681,3.243373092
519,15.0,141.0,5.5,842.0,801.0,28,0.63028169,3.778034127
423,13.6,172.4,4.1,1006.3,856.4,14,0.909512761,3.392828918
305,0.0,97.4,11.8,973.9,875.6,14,0.579574161,3.735046899
545,0.0,0.0,0.0,889.8,945.0,28,0.752941176,2.931193567
137,189.0,0.0,11.6,944.7,755.8,28,0.454771098,4.266896058
288,0.0,167.0,7.6,1055.6,777.8,100,0.934950386,3.814850853
732,0.0,0.0,0.0,1056.0,809.0,7,0.550143266,2.198334933
448,129.9,128.6,7.8,1006.3,746.6,56,1.048387097,3.945844305
126,106.3,0.0,16.5,852.1,887.1,28,0.361176471,4.099165994
726,0.0,0.0,0.0,1025.0,821.0,3,0.580060423,2.660958426
831,144.0,112.0,10.0,923.0,658.0,28,1.428571429,2.803360204
568,0.0,0.0,0.0,1040.6,734.3,7,0.467758186,3.236715539
260,0.0,100.4,10.4,1003.8,903.8,14,0.749764817,3.23356717
932,174.0,185.0,7.0,845.0,612.0,28,1.480519481,3.192120886
494,20.0,94.0,14.3,938.0,845.0,56,0.405684755,4.031404508
168,117.2,0.0,32.2,852.1,840.5,91,0.293816631,4.258445304
539,0.0,0.0,0.0,936.2,712.2,90,0.4,3.994892231
701,192.0,0.0,0.0,932.0,717.8,90,0.666666667,3.922566972
581,272.8,0.0,0.0,1012.4,714.3,7,1.020890599,2.515274028
307,0.0,97.4,11.8,973.9,875.6,56,0.579574161,3.932609391
505,26.0,123.0,3.9,822.0,699.0,7,0.409368635,3.635478448
546,0.0,0.0,0.0,931.2,842.6,28,0.576576577,3.464797744
634,0.0,0.0,0.0,1088.0,808.0,28,0.665454545,3.198672916
413,93.4,159.9,9.7,1007.2,746.6,3,0.99136939,2.761274788
541,0.0,0.0,0.0,931.2,842.6,3,0.576576577,2.748551971
271,0.0,121.6,6.7,1056.4,778.5,28,0.75064711,3.518387427
298,42.2,124.3,10.8,1080.8,796.2,100,0.937240971,3.874320894
654,183.9,0.0,0.0,958.2,800.1,28,1.659869494,3.190064542
754,0.0,0.0,0.0,1125.0,613.0,90,0.32037037,4.243625997
412,75.4,167.0,7.9,1007.3,770.1,3,0.982035928,2.742129342
734,0.0,0.0,0.0,1056.0,809.0,90,0.550143266,3.705244574
47,95.0,0.0,0.0,932.0,594.0,180,0.6,3.707700974
718,183.9,0.0,0.0,958.2,800.1,7,1.659869494,2.336986372
76,117.2,0.0,32.2,852.1,840.5,3,0.293816631,3.693866763
524,19.0,141.0,10.9,942.0,801.0,28,0.428969359,4.085807973
725,0.0,0.0,0.0,1012.0,830.0,120,0.619354839,3.655839369
378,0.0,0.0,0.0,1003.5,762.4,100,0.570744681,3.762594254
626,0.0,0.0,0.0,968.0,885.0,7,0.81779661,2.301584447
46,0.0,0.0,0.0,1047.0,806.9,3,0.550143266,2.71137782
438,75.4,167.0,7.9,1007.3,770.1,28,0.982035928,3.723522163
635,0.0,0.0,0.0,1075.0,795.0,7,0.613333333,2.745987867
471,24.0,79.0,11.6,967.0,712.0,28,0.3632287,4.04357719
385,0.0,0.0,5.2,855.0,855.0,28,0.326923077,4.099000115
973,136.3,106.2,7.5,941.5,774.3,28,1.23852573,3.263848985
19,0.0,0.0,0.0,932.0,594.0,180,0.48,3.75232339
622,0.0,0.0,0.0,968.0,812.0,365,0.628664495,3.587676722
209,0.0,118.3,4.6,1029.4,758.6,3,0.85,2.305580456
410,13.6,172.4,4.1,1006.3,856.4,3,0.909512761,3.058237286
206,0.0,121.6,5.7,1057.6,779.3,28,0.850070721,3.214867601
858,149.0,0.0,8.0,951.0,709.0,28,0.577639752,3.959287948
842,0.0,184.0,12.0,991.0,772.0,28,1.105960265,2.745345813
148,0.0,0.0,28.2,852.1,893.7,56,0.266892528,4.074141598
558,181.9,0.0,0.0,1012.4,714.3,7,0.680718475,2.984165449
290,45.2,122.0,8.2,1059.4,780.7,14,0.935164835,3.068052742
797,0.0,0.0,0.0,1125.0,613.0,180,0.4,3.932609391
278,0.0,118.3,5.8,1028.4,757.7,100,0.749801114,3.774598091
445,0.0,143.6,0.0,1005.6,900.9,56,0.992727273,3.598954519
174,94.7,0.0,11.4,946.8,852.1,91,0.366849179,4.324132383
124,97.1,0.0,12.1,852.1,925.7,28,0.406330417,3.925925663
1023,250.0,0.0,12.2,1049.3,688.2,28,1.053817272,3.675287269
404,180.0,120.0,10.4,830.0,765.0,28,0.589090909,4.333885986
665,116.0,0.0,0.0,946.8,856.8,7,1.10982659,2.432735624
972,172.6,0.0,3.4,985.8,816.8,28,1.248455731,3.167161189
851,188.0,146.0,11.0,829.0,710.0,28,1.26875,3.491647064
442,0.0,174.2,11.7,1043.6,771.9,28,0.745667447,3.798630078
259,0.0,100.4,10.4,1003.8,903.8,3,0.749764817,2.590016971
203,0.0,125.4,7.8,1090.0,804.0,100,0.850026219,3.703028644
879,145.0,0.0,8.0,867.0,824.0,28,0.568690096,3.793013979
582,155.5,0.0,0.0,1026.6,724.3,28,1.090428655,3.247657421
749,0.0,0.0,0.0,1125.0,613.0,14,0.4,3.609294747
9,0.0,0.0,0.0,932.0,594.0,28,0.48,3.670969802
491,20.0,94.0,14.3,938.0,845.0,7,0.405684755,3.606583984
4,132.4,0.0,0.0,978.4,825.5,360,0.966767372,3.790984438
473,24.0,79.0,11.6,967.0,712.0,28,0.3632287,3.932217465
623,0.0,0.0,0.0,968.0,812.0,3,0.628664495,2.528923376
834,143.0,111.0,22.0,914.0,651.0,28,0.541935484,3.517200835
710,166.8,0.0,0.0,977.6,694.1,28,0.813349321,3.609836019
723,0.0,0.0,0.0,1012.0,830.0,28,0.619354839,3.326114366
135,177.0,0.0,11.1,884.9,707.9,28,0.423690205,4.189654478
477,24.0,79.0,11.6,967.0,712.0,3,0.3632287,3.150596785
37,142.5,0.0,0.0,932.0,594.0,90,0.685714286,3.630190229
430,0.0,100.5,7.5,998.0,901.8,14,0.874165383,3.189652765
676,250.2,0.0,0.0,975.6,692.6,7,1.220023981,2.756840191
896,161.0,0.0,10.0,917.0,759.0,28,0.568690096,3.959669409
417,0.0,100.5,7.5,998.0,901.8,3,0.874165383,2.499795105
895,101.0,78.0,10.0,936.0,763.0,28,0.657692308,3.907412146
469,0.0,100.5,7.5,998.0,901.8,100,0.874165383,3.790532869
857,207.0,161.0,5.0,867.0,736.0,28,1.356060606,3.505557176
509,22.0,132.0,8.9,822.0,750.0,28,0.396226415,4.278053774
589,0.0,0.0,0.0,1069.2,754.3,28,0.547464623,3.462605791
506,26.0,123.0,3.9,822.0,699.0,56,0.409368635,4.124873507
742,0.0,0.0,0.0,936.0,721.0,90,0.4,3.994155583
886,0.0,137.0,16.0,1002.0,830.0,28,1.067567568,2.887589933
528,19.0,141.0,10.9,942.0,801.0,7,0.428969359,3.65351108
89,177.0,0.0,11.1,884.9,707.9,3,0.423690205,3.671224287
13,190.0,0.0,0.0,932.0,670.0,90,1.2,3.745495818
724,0.0,0.0,0.0,1012.0,830.0,90,0.619354839,3.576829725
910,136.0,106.0,7.0,941.0,774.0,28,1.236111111,3.263466502
829,105.0,82.0,9.0,904.0,680.0,28,0.769230769,3.615501756
995,148.9,116.0,15.0,953.3,719.7,28,1.104035309,3.320709921
661,212.0,0.0,0.0,971.8,748.5,7,1.44019816,2.340843657
737,0.0,0.0,0.0,1119.0,789.0,28,0.781512605,2.864483806
446,128.5,132.1,8.1,1005.8,746.6,56,1.061212121,3.98378512
990,178.1,138.7,18.3,944.0,694.6,28,1.10342556,3.593193977
746,0.0,0.0,0.0,1125.0,613.0,1,0.4,2.536866229
103,106.3,0.0,16.5,852.1,887.1,7,0.361176471,3.895893378
852,0.0,107.0,6.0,879.0,815.0,28,0.624161074,3.752792543
282,0.0,118.3,6.4,1028.4,757.7,56,0.749801114,3.601140313
935,178.0,187.0,7.0,854.0,614.0,28,1.416666667,3.381334539
292,45.2,122.0,8.2,1059.4,780.7,56,0.935164835,3.7727607
664,166.8,0.0,0.0,977.6,694.1,7,0.813349321,2.962692233
590,0.0,0.0,0.0,1118.8,789.3,7,0.779924402,2.336019722
620,0.0,0.0,0.0,968.0,863.0,365,0.779527559,3.394172553
783,0.0,0.0,0.0,1085.0,765.0,90,0.648648649,3.380654267
74,93.8,0.0,23.4,852.1,992.6,3,0.3376,3.367295617
310,0.0,95.6,8.9,955.1,859.2,14,0.579979709,3.561897768
1003,187.0,0.0,6.6,824.3,756.9,28,0.522677596,4.188289911
836,140.0,0.0,6.0,895.0,722.0,28,0.703947368,3.509154302
101,97.1,0.0,12.1,852.1,925.7,7,0.406330417,3.552486605
239,0.0,118.2,6.1,1028.1,757.6,3,0.849804092,2.592265005
653,153.0,0.0,0.0,887.0,942.0,90,1.882352941,3.237108389
983,161.6,125.8,10.4,922.6,764.4,28,1.258064516,3.369706502
177,189.0,0.0,11.6,944.7,755.8,91,0.454771098,4.373237853
481,24.0,79.0,11.6,967.0,712.0,56,0.3632287,4.112020488
450,50.1,173.5,6.5,1006.2,793.5,56,0.949855908,3.984715439
269,0.0,121.6,6.7,1056.4,778.5,3,0.75064711,2.736961372
493,20.0,94.0,11.6,938.0,845.0,7,0.405684755,3.72978121
486,20.0,94.0,13.9,938.0,845.0,28,0.405684755,3.843315565
488,20.0,94.0,14.3,938.0,845.0,3,0.405684755,3.124564948
339,0.0,117.5,9.5,1022.8,753.5,3,0.588156124,3.086942959
15,0.0,0.0,0.0,932.0,670.0,90,0.6,3.968592106
460,129.8,118.6,3.6,1007.3,746.8,100,1.010674157,3.911822739
329,0.0,125.1,12.0,1086.8,800.9,3,0.580632091,3.157850924
232,98.1,24.5,6.9,1065.8,785.4,56,0.85025737,3.927305381
944,145.0,113.0,8.0,1001.9,688.7,28,1.165904637,3.241028425
228,42.1,163.8,5.7,1058.7,780.1,100,0.725,3.669441529
905,0.0,166.0,10.0,961.0,805.0,28,1.333333333,2.587011709
424,50.1,173.5,6.5,1006.2,793.5,14,0.949855908,3.496810325
139,189.2,0.0,10.1,926.1,756.7,56,0.454812834,4.1494636
1022,111.0,86.5,5.9,832.6,790.4,28,0.739130435,3.726656583
547,0.0,0.0,0.0,931.2,842.6,7,0.576576577,3.152735823
1002,164.2,0.0,4.6,870.0,774.0,28,0.592903828,4.046903232
349,0.0,174.2,11.7,1052.3,775.5,3,0.72412178,2.8547444
591,0.0,0.0,0.0,1111.6,784.3,28,0.735445545,2.984165449
235,98.1,24.5,6.7,1066.0,785.5,14,0.849859682,2.881442945
792,0.0,0.0,0.0,1047.0,806.0,360,0.550143266,3.74075984
274,0.0,118.3,5.8,1028.4,757.7,3,0.749801114,2.846071319
838,149.0,116.0,15.0,953.0,720.0,28,1.100628931,3.320709921
748,0.0,0.0,0.0,1125.0,613.0,7,0.4,3.502850814
233,98.1,24.5,6.9,1065.8,785.4,100,0.85025737,3.987130226
699,305.3,0.0,0.0,963.4,630.0,3,1.0,2.257587585
552,238.2,0.0,0.0,1040.6,734.3,7,1.169395466,2.263844122
377,0.0,0.0,0.0,1003.5,762.4,56,0.570744681,3.591817515
855,166.0,0.0,9.0,882.0,790.0,28,0.533742331,4.114637006
462,13.6,172.4,4.1,1006.3,856.4,100,0.909512761,3.629129221
692,141.3,0.0,0.0,973.4,750.0,90,0.95990566,3.681350955
98,118.8,0.0,8.9,852.1,781.5,7,0.381263158,4.018182948
312,0.0,95.6,8.9,955.1,859.2,56,0.579979709,3.886089378
600,0.0,0.0,0.0,968.0,781.0,14,0.581120944,3.297317043
672,116.0,0.0,0.0,946.8,856.8,3,1.10982659,1.937301652
551,0.0,0.0,0.0,889.8,945.0,3,0.752941176,2.104134021
100,106.3,0.0,16.5,852.1,887.1,7,0.361176471,3.895893378
915,184.0,143.0,9.0,880.0,699.0,28,1.251612903,3.36695073
499,26.0,123.0,3.9,882.0,699.0,28,0.427698574,4.017283263
33,0.0,0.0,0.0,932.0,594.0,270,0.48,3.74075984
669,192.0,0.0,0.0,932.0,717.8,3,0.666666667,2.779440022
247,0.0,94.1,7.0,949.9,847.0,56,0.784124318,3.678576329
743,0.0,0.0,0.0,1040.0,734.0,28,0.468513854,3.609294747
711,203.5,0.0,0.0,965.4,631.0,90,0.666557484,4.00003363
459,128.5,132.1,8.1,1005.8,746.6,100,1.061212121,4.007696503
96,106.3,0.0,18.6,936.0,803.7,7,0.356235294,3.84588296
497,19.0,97.0,13.1,967.0,871.0,28,0.408450704,3.784870981
237,98.1,24.5,6.7,1066.0,785.5,56,0.849859682,3.852909498
682,122.6,0.0,0.0,959.2,800.0,28,1.106579663,3.180134796
34,190.0,0.0,0.0,932.0,670.0,365,1.2,3.983226513
624,0.0,0.0,0.0,968.0,812.0,28,0.628664495,3.31527611
814,0.0,0.0,0.0,970.0,850.0,360,0.619354839,3.640476485
914,145.0,0.0,8.0,1002.0,689.0,28,0.568690096,3.714790601
930,209.0,161.0,7.0,848.0,669.0,28,1.264150943,3.430108509
263,0.0,100.4,10.4,1003.8,903.8,100,0.749764817,3.865769377
912,117.0,91.0,7.0,946.0,666.0,28,0.689530686,3.774368602
663,200.0,0.0,0.0,927.4,839.2,28,1.443609023,3.327550632
447,129.8,118.6,3.6,1007.3,746.8,56,1.010674157,3.883417503
959,160.5,0.0,9.6,916.6,759.5,28,0.56759348,3.959860085
425,75.4,167.0,7.9,1007.3,770.1,14,0.982035928,3.493472437
703,133.0,0.0,0.0,965.4,806.2,28,0.96,3.415757317
657,162.4,0.0,0.0,938.2,849.0,28,1.879039705,3.02480533
652,153.0,0.0,0.0,887.0,942.0,3,1.882352941,1.519513109
22,209.4,0.0,0.0,1047.0,806.9,3,1.375358166,2.086913425
677,153.0,0.0,0.0,887.0,942.0,7,1.882352941,2.038619419
161,189.0,0.0,9.5,944.7,755.8,56,0.51760876,4.092509288
162,189.2,0.0,10.1,926.1,756.7,91,0.454812834,4.17284736
141,106.3,0.0,16.5,852.1,887.1,56,0.361176471,4.163559368
303,0.0,96.2,9.4,961.2,865.0,100,0.578856749,3.89120762
646,166.8,0.0,0.0,977.6,694.1,90,0.813349321,3.865140776
666,288.0,0.0,0.0,929.8,716.1,3,1.0,2.548663455
628,0.0,0.0,0.0,1125.0,845.0,28,0.9,2.505525779
223,0.0,163.3,4.5,1058.6,780.1,100,1.062612884,3.512738535
132,189.0,0.0,11.6,944.7,755.8,28,0.454771098,4.266896058
467,0.0,95.7,5.3,948.9,857.2,100,0.7672,3.717466676
873,92.0,71.0,6.0,853.0,695.0,28,1.042194093,3.354454907
391,17.2,158.0,20.8,967.0,633.0,28,0.420654912,4.019081824
980,175.1,0.0,2.2,1000.0,828.5,28,1.158322057,3.292869297
680,153.0,0.0,0.0,887.0,942.0,28,1.882352941,2.849549584
38,0.0,0.0,0.0,932.0,594.0,90,0.48,3.743130633
241,0.0,118.2,6.1,1028.1,757.6,28,0.849804092,3.200304237
832,115.0,89.0,9.0,860.0,829.0,28,1.37414966,2.995231959
236,98.1,24.5,6.7,1066.0,785.5,28,0.849859682,3.694612753
517,11.0,141.0,1.7,942.0,801.0,7,1.01980198,2.712705841
484,24.0,79.0,10.3,967.0,712.0,56,0.3632287,4.003142346
559,359.4,0.0,0.0,941.6,664.3,28,0.775041736,3.674780298
515,11.0,141.0,1.7,942.0,801.0,28,1.01980198,3.089677691
379,0.0,0.0,4.0,966.0,853.0,28,0.28,4.213163832
694,157.0,0.0,0.0,972.6,749.1,28,0.813559322,3.49286435
60,76.0,0.0,0.0,932.0,670.0,270,0.75,3.995996187
867,260.0,0.0,13.0,859.0,827.0,28,1.102409639,3.6352147
140,262.2,0.0,8.6,1046.9,611.8,56,0.560165975,4.17284736
789,0.0,0.0,0.0,1047.0,806.0,28,0.550143266,3.487986292
127,212.5,0.0,14.3,852.1,880.4,28,0.488393977,4.016382767
456,0.0,100.5,7.5,998.0,901.8,56,0.874165383,3.770228762
115,189.0,0.0,9.5,944.7,755.8,7,0.51760876,3.558200906
877,0.0,107.0,11.0,819.0,778.0,28,0.746621622,3.447444415
130,282.8,0.0,10.3,942.7,659.9,28,0.5678097,4.31347982
408,129.8,118.6,3.6,1007.3,746.8,3,1.010674157,3.031581735
3,142.5,0.0,0.0,932.0,594.0,365,0.685714286,3.714790601
112,177.0,0.0,11.1,884.9,707.9,7,0.423690205,4.027135558
735,0.0,0.0,0.0,1056.0,809.0,120,0.550143266,3.710151355
556,290.2,0.0,0.0,998.2,704.3,28,0.959689922,3.485231891
200,0.0,125.4,7.8,1090.0,804.0,14,0.850026219,3.047375314
882,133.0,103.0,7.0,916.0,753.0,28,1.428571429,3.595666845
544,0.0,0.0,0.0,913.2,895.3,7,0.664359862,2.68102136
808,0.0,0.0,0.0,1111.0,784.0,7,0.738095238,2.439734777
781,0.0,0.0,0.0,1085.0,765.0,7,0.648648649,2.653241797
163,262.2,0.0,8.6,1046.9,611.8,91,0.560165975,4.198704313
984,0.0,142.8,9.1,877.2,867.7,28,1.24870801,2.276240974
178,200.9,0.0,11.2,1004.6,803.7,91,0.505413902,4.341204366
12,47.5,0.0,0.0,932.0,594.0,270,0.533333333,3.761432409
362,54.6,123.8,11.9,1075.7,792.7,56,0.64527956,4.126972821
419,0.0,143.6,0.0,1005.6,900.9,14,0.992727273,2.826129311
345,0.0,174.7,10.2,1053.5,776.4,14,0.724379972,3.518387427
890,0.0,195.0,11.0,898.0,713.0,28,1.392405063,2.144760872
219,0.0,163.3,4.5,1058.6,780.1,3,1.062612884,2.375835405
1015,148.6,0.0,8.5,951.0,709.5,28,0.576124031,3.959478697
704,166.8,0.0,0.0,977.6,694.1,3,0.813349321,2.275213753
